,Sr. No.,Institute Code,Institute Name,CAP-I,CAP-II,CAP-III
110,"('111.', None)","('3460', None)","('Universal College of Engineering,Kaman Dist. Palghar', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3460.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3460.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3460.pdf')"
111,"('112.', None)","('3462', None)","(""VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri."", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3462.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3462.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3462.pdf')"
112,"('113.', None)","('3465', None)","('Ideal Institute of Technology, Wada, Dist.Thane', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3465.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3465.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3465.pdf')"
113,"('114.', None)","('3467', None)","(""Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3467.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3467.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3467.pdf')"
114,"('115.', None)","('3471', None)","('New Horizon Institute of Technology & Management, Thane', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3471.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3471.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3471.pdf')"
115,"('116.', None)","('3475', None)","('A. P. Shah Institute of Technology, Thane', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3475.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3475.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3475.pdf')"
116,"('117.', None)","('3477', None)","('Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3477.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3477.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3477.pdf')"
117,"('118.', None)","('3503', None)","('Indala College Of Engineering, Bapsai Tal.Kalyan', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3503.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3503.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3503.pdf')"
118,"('119.', None)","('4004', None)","('Government College of Engineering, Chandrapur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4004.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4004.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4004.pdf')"
119,"('120.', None)","('4005', None)","('Laxminarayan Institute of Technology, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4005.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4005.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4005.pdf')"
