,Sr. No.,Institute Code,Institute Name,CAP-I,CAP-II,CAP-III
0,"('1.', None)","('1002', None)","('Government College of Engineering, Amravati', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1002.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1002.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1002.pdf')"
1,"('2.', None)","('1005', None)","('Sant Gadge Baba Amravati University,Amravati', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1005.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1005.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1005.pdf')"
2,"('3.', None)","('1012', None)","('Government College of Engineering,Yavatmal', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1012.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1012.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1012.pdf')"
3,"('4.', None)","('1101', None)","('Shri Sant Gajanan Maharaj College of Engineering,Shegaon', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1101.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1101.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1101.pdf')"
4,"('5.', None)","('1105', None)","('Prof. Ram Meghe Institute of Technology & Research, Amravati', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1105.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1105.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1105.pdf')"
5,"('6.', None)","('1107', None)","(""P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1107.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1107.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1107.pdf')"
6,"('7.', None)","('1114', None)","('Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1114.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1114.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1114.pdf')"
7,"('8.', None)","('1116', None)","(""Shri Shivaji Education Society's College of Engineering and Technology, Akola"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1116.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1116.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1116.pdf')"
8,"('9.', None)","('1117', None)","('Janata Shikshan Prasarak Mandals Babasaheb Naik College Of Engineering, Pusad', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1117.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1117.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1117.pdf')"
9,"('10.', None)","('1119', None)","(""Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1119.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1119.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1119.pdf')"
10,"('11.', None)","('1120', None)","('Jawaharlal Darda Institute of Engineering and Technology, Yavatmal', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1120.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1120.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1120.pdf')"
11,"('12.', None)","('1121', None)","('Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1121.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1121.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1121.pdf')"
12,"('13.', None)","('1123', None)","('Dr.Rajendra Gode Institute of Technology & Research, Amravati', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1123.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1123.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1123.pdf')"
13,"('14.', None)","('1125', None)","('Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1125.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1125.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1125.pdf')"
14,"('15.', None)","('1126', None)","(""Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1126.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1126.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1126.pdf')"
15,"('16.', None)","('1127', None)","(""Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1127.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1127.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1127.pdf')"
16,"('17.', None)","('1128', None)","('Prof Ram Meghe College of Engineering and Management, Badnera', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1128.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1128.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1128.pdf')"
17,"('18.', None)","('1130', None)","(""Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1130.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1130.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1130.pdf')"
18,"('19.', None)","('1180', None)","('Sanmati Engineering College, Sawargaon Barde, Washim', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1180.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1180.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1180.pdf')"
19,"('20.', None)","('1182', None)","('Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1182.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1182.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1182.pdf')"
20,"('21.', None)","('1265', None)","('Mauli Group of Institutions, College of Engineering and Technology, Shegaon.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1265.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1265.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1265.pdf')"
21,"('22.', None)","('1268', None)","('Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1268.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1268.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1268.pdf')"
22,"('23.', None)","('1276', None)","('Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1276.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1276.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1276.pdf')"
23,"('24.', None)","('2008', None)","('Government College of Engineering, Aurangabad', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2008.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2008.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2008.pdf')"
24,"('25.', None)","('2020', None)","('Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2020.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2020.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2020.pdf')"
25,"('26.', None)","('2021', None)","('University Department of Chemical Technology, Aurangabad', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2021.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2021.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2021.pdf')"
26,"('27.', None)","('2032', None)","('Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2032.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2032.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2032.pdf')"
27,"('28.', None)","('2111', None)","('Everest Education Society, Group of Institutions (Integrated Campus), Ohar', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2111.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2111.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2111.pdf')"
28,"('29.', None)","('2112', None)","('Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2112.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2112.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2112.pdf')"
29,"('30.', None)","('2113', None)","(""G. S. Mandal's Maharashtra Institute of Technology, Aurangabad"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2113.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2113.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2113.pdf')"
30,"('31.', None)","('2114', None)","('Deogiri Institute of Engineering and Management Studies, Aurangabad', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2114.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2114.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2114.pdf')"
31,"('32.', None)","('2116', None)","(""Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2116.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2116.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2116.pdf')"
32,"('33.', None)","('2127', None)","('Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2127.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2127.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2127.pdf')"
33,"('34.', None)","('2129', None)","('M.S. Bidve Engineering College, Latur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2129.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2129.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2129.pdf')"
34,"('35.', None)","('2130', None)","(""Terna Public Charitable Trust's College of Engineering, Osmanabad"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2130.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2130.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2130.pdf')"
35,"('36.', None)","('2131', None)","('Shree Tuljabhavani College of Engineering, Tuljapur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2131.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2131.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2131.pdf')"
36,"('37.', None)","('2133', None)","(""Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2133.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2133.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2133.pdf')"
37,"('38.', None)","('2134', None)","(""Peoples Education Society's College of Engineering, Aurangabad"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2134.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2134.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2134.pdf')"
38,"('39.', None)","('2135', None)","('Hi-Tech Institute of Technology, Aurangabad', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2135.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2135.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2135.pdf')"
39,"('40.', None)","('2136', None)","('Aditya Engineering College , Beed', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2136.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2136.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2136.pdf')"
40,"('41.', None)","('2137', None)","('Nagnathappa Halge Engineering College, Parli, Beed', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2137.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2137.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2137.pdf')"
41,"('42.', None)","('2138', None)","(""Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2138.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2138.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2138.pdf')"
42,"('43.', None)","('2146', None)","(""Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2146.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2146.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2146.pdf')"
43,"('44.', None)","('2250', None)","('Aurangabad College of Engineering, Naygaon Savangi, Aurangabad', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2250.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2250.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2250.pdf')"
44,"('45.', None)","('2252', None)","(""Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2252.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2252.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2252.pdf')"
45,"('46.', None)","('2254', None)","('Vilasrao Deshmukh Foundation Group of Institutions, Latur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2254.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2254.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2254.pdf')"
46,"('47.', None)","('2508', None)","('GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2508.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2508.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2508.pdf')"
47,"('48.', None)","('2516', None)","('International Centre Of Excellence In Engineering and Management (ICEEM)', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2516.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2516.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2516.pdf')"
48,"('49.', None)","('2522', None)","(""STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur."", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2522.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2522.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2522.pdf')"
49,"('50.', None)","('2533', None)","('CSMSS Chh. Shahu College of Engineering, Aurangabad', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_2533.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_2533.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_2533.pdf')"
50,"('51.', None)","('3012', None)","('Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3012.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3012.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3012.pdf')"
51,"('52.', None)","('3014', None)","('Sardar Patel College of Engineering, Andheri', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3014.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3014.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3014.pdf')"
52,"('53.', None)","('3033', None)","('Dr. Babasaheb Ambedkar Technological University, Lonere', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3033.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3033.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3033.pdf')"
53,"('54.', None)","('3035', None)","(""Usha Mittal Institute of Technology SNDT Women's University, Mumbai"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3035.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3035.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3035.pdf')"
54,"('55.', None)","('3036', None)","('Institute of Chemical Technology, Matunga, Mumbai', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3036.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3036.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3036.pdf')"
55,"('56.', None)","('3042', None)","('Government College of Engineering, Ratnagiri', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3042.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3042.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3042.pdf')"
